,bid,footprint_area,PV_cap_MW,number_of_cars,car_demand_daily_per_car_MW,car_demand_daily_total_MW,charging_station_power_MW,charging_station_power_total_MW,,use,free_walls,lat,lon,dist_to_heat_source,year_class,size_class,floors,storey_area,area_corr_factor,heated_area,window_area,dwellings,dwelling_size,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,U,V,C,Tau,Tset,act_start,act_end,hw_demand_day,hw_tank_cap
58,39.897.000.000.000.000,398.97,11,0.00515,0.05665,0.011,0.121,,3,4,48.213.000.000.000.000,11.550.000.000.000.000,0,2,2,3,11.969.000.000.000.000,0.84,1005.39,15.053.999.999.999.900,11,91.400.000.000.000.000,21,2,1,1,1,17.303.299.999.999.900,17.091.999.999.999.900,167017677,87.846.410.000.000.000,20,0,23,0.81,Jan 22,
59,177.16,177.16,8,0.00515,0.0412,0.011,0.088,,3,4,48.213.999.999.999.900,11.554,0,2,2,3,53.147.000.000.000.000,0.84,44.643.000.000.000.000,66.849.999.999.999.900,5,89.290.000.000.000.000,16,2,1,1,1,76.833.000.000.000.000,75.890.000.000.000.000,74.162.393.459.999.900,87.846.410.000.000.000,19,0,23,0.16,0.24,
60,19.949.000.000.000.000,199.49,4,0.00515,0.0206,0.011,0.044,,3,4,48.207.999.999.999.900,11.551,0,2,2,3,59.848.000.000.000.000,0.84,50.273.000.000.000.000,75.280.000.000.000.000,5,100.55,8,1,1,1,2,97.841.999.999.999.900,85.459.999.999.999.900,83.513.739.349.999.900,78.498.839.999.999.900,21,0,23,0.25,0.37,
61,127.7,127.7,3,0.00515,0.01545,0.011,0.033,,3,4,48.207.999.999.999.900,11.557,0,2,2,3,38.311.000.000.000.000,0.84,321.81,48.189.999.999.999.900,3,107.27,6,1,1,1,2,62.633.000.000.000.000,54.710.000.000.000.000,53.460.419.020.000.000,78.498.839.999.999.900,22,0,23,0.13,0.19,
62,336.94,336.94,3,0.00515,0.01545,0.011,0.033,,3,4,48.198,11.535,0,2,2,3,10.108.099.999.999.900,0.84,84.908.000.000.000.000,127.14,5,16.981.999.999.999.900,5,1,2,1,2,81.489.999.999.999.900,144.34,14.105.095.940.000.000,14.704.382.000.000.000,18,0,23,0.48,0.72,
63,33.410.000.000.000.000,334.1,13,0.00515,0.06695,0.011,0.143,,3,4,48.213.999.999.999.900,11.539.999.999.999.900,0,2,3,4,13.364.200.000.000.000,0.84,11.225.899.999.999.900,19.756.999.999.999.900,9,124.73,26,2,1,2,1,1922.05,143.13,17.547.679.330.000.000,84.969.119.999.999.900,19,0,23,0.68,01. Feb,
64,75.260.000.000.000.000,75.26,1,0.00515,0.00515,0.011,0.011,,3,4,48.210.999.999.999.900,11.529.999.999.999.900,0,3,0,2,15.050.999.999.999.900,0.84,12.643.000.000.000.000,14.56,2,63.219.999.999.999.900,2,2,1,1,2,21.474.000.000.000.000,32.240.000.000.000.000,35.856.593.420.000.000,14.518.160.999.999.900,22,0,23,0.09,0.14,
65,77.980.000.000.000.000,77.98,1,0.00515,0.00515,0.011,0.011,,3,4,48.212.000.000.000.000,11.529,0,3,0,2,15.596.000.000.000.000,0.84,13.100.999.999.999.900,15. Aug,1,13.100.999.999.999.900,1,2,1,2,1,22.877.000.000.000.000,33.409.999.999.999.900,37.155.187.009.999.900,14.171.992.000.000.000,21,0,23,0.09,0.13,
66,75.180.000.000.000.000,75.18,1,0.00515,0.00515,0.011,0.011,,3,4,48.210.999.999.999.900,11.529.999.999.999.900,0,3,0,2,15.036.000.000.000.000,0.84,126.3,14.539.999.999.999.900,1,126.3,1,2,1,1,1,23.633.000.000.000.000,32.210.000.000.000.000,35.820.027.390.000.000,133388.09,22,0,23,0.11,0.16,
67,150.37,150.37,1,0.00515,0.00515,0.011,0.011,,3,4,48.215.000.000.000.000,11.528,0,3,0,2,30.074.000.000.000.000,0.84,252.62,29. Sep,1,252.62,1,2,1,2,2,39.749.000.000.000.000,64.420.000.000.000.000,71.644.554.359.999.900,15.510.670.000.000.000,18,0,23,0.17,0.26,
68,75.129.999.999.999.900,75.13,4,0.00515,0.0206,0.011,0.044,,3,4,48.210.999.999.999.900,11.529.999.999.999.900,0,3,0,2,150.25,0.84,12.620.999.999.999.900,14.529.999.999.999.900,2,63.109.999.999.999.900,7,1,1,2,1,31.844.999.999.999.900,32.18,35.795.164.039.999.900,102088.08,22,0,23,0.01,0.01,
69,78.040.000.000.000.000,78.04,4,0.00515,0.0206,0.011,0.044,,3,4,48.212.000.000.000.000,11.529,0,3,0,2,15.606.999.999.999.900,0.84,13.109.999.999.999.900,15. Jan,2,65.549.999.999.999.900,7,2,1,1,2,22.266.999.999.999.900,33.43,37.181.001.390.000.000,14.518.160.999.999.900,21,0,23,0.13,0.19,
70,75.959.999.999.999.900,75.96,3,0.00515,0.01545,0.011,0.033,,3,4,48.210.999.999.999.900,11.529.999.999.999.900,0,3,0,2,151.91,0.84,127.61,14.69,2,63.799.999.999.999.900,6,2,1,2,2,200.78,32.539.999.999.999.900,36.189.850.979.999.900,15.510.670.000.000.000,21,0,23,0.11,0.17,
