bid;footprint_area;PV_cap_MW;number_of_cars;car_demand_daily_per_car_MW;car_demand_daily_total_MW;charging_station_power_MW;charging_station_power_total_MW;;use;free_walls;lat;lon;dist_to_heat_source;year_class;size_class;floors;storey_area;area_corr_factor;heated_area;window_area;dwellings;dwelling_size;occupants;ref_level_roof;ref_level_wall;ref_level_floor;ref_level_window;U;V;C;Tau;Tset;act_start;act_end;hw_demand_day;hw_tank_cap;;;;;;;;;;;
116;83.304.999.999.999.900;0.083305000000000004;12;0.0051500000000000001;0.061800000000000001;0.010999999999999999;0.13200000000000001;;3;4;48.212.000.000.000.000;11.557;0;4;3;8;66.643.800.000.000.000;0.83999999999999997;55.980.799.999.999.900;10.469.000.000.000.000;23;24.338.999.999.999.900;23;2;1;2;2;75.458.800.000.000.000;356.88;74.915.762.170.000.000;94.796.940.000.000.000;19;0;23;11.499.999.999.999.900;Jan 72;481335547.5;13.018.956.409.999.900;2397702;85.982.259.999.999.900;23.256.110.000.000.000;428.31;21870244.91;34.739.999.999.999.900;50.320.579.239.999.900;89889;42939342
117;67.353.999.999.999.900;0.067353999999999997;10;0.0051500000000000001;0.051499999999999997;0.010999999999999999;0.11;;3;4;48.209.000.000.000.000;11.550.000.000.000.000;0;4;3;8;53.883.199.999.999.900;0.83999999999999997;45.261.899.999.999.900;84.644.000.000.000.000;19;238.22;19;1;1;2;1;77.290.900.000.000.000;28.854.000.000.000.000;60.571.336.870.000.000;75.547.660.000.000.000;20;0;23;24.700.000.000.000.000;Mar 71;503633707;132771877.7;2059204;111271;29.334.139.999.999.900;45.494.999.999.999.900;46.468.091.810.000.000;73.866.999.999.999.900;55.010.179.879.999.900;121537.5;38306327
118;72.650.999.999.999.900;0.072650999999999993;40;0.0051500000000000001;0.20599999999999999;0.010999999999999999;0.44;;3;4;48.197.000.000.000.000;11.529.999.999.999.900;0;4;3;8;58.120.600.000.000.000;0.83999999999999997;48.821.300.000.000.000;91.300.999.999.999.900;20;24.411.000.000.000.000;80;1;1;2;1;83.369.099.999.999.900;31.124.000.000.000.000;65.334.705.860.000.000;75.547.660.000.000.000;22;0;23;55.899.999.999.999.900;83.900.000.000.000.000;54.569.369.760.000.000;16.204.645.840.000.000;8757220;111773.69;33191.75;1793.73;10.361.579.009.999.900;16.548.499.999.999.900;64.930.948.770.000.000;13.299.717.000.000.000;93178243
119;21.825.999.999.999.900;0.021826000000000002;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.198.999.999.999.900;11.510.999.999.999.900;0;5;0;1;21.825.999.999.999.900;0.83999999999999997;183.34;41.170.000.000.000.000;2;91.670.000.000.000.000;4;1;1;1;1;509.87;93.5;101440957.3;16.812.398.999.999.900;21;0;23;0.029999999999999999;0.050000000000000003;44.154.546.670.000.000;79.300.684.900.000.000;403960;240834.22;43.253.349.999.999.900;22.033.400.000.000.000;11.076.756.499.999.900;17.629.999.999.999.900;45.262.222.329.999.900;246875.87;8078146
120;81.930.000.000.000.000;0.0081930000000000006;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.206.000.000.000.000;11.557;0;5;0;1;81.930.000.000.000.000;0.83999999999999997;68.819.999.999.999.900;15.449.999.999.999.900;2;34.409.999.999.999.900;2;2;1;1;1;164.91;35.100.000.000.000.000;38.076.975.509.999.900;19.037.914.999.999.900;21;0;23;0.040000000000000001;0.059999999999999998;14.532.055.949.999.900;29.939.671.800.000.000;200308;21.116.035.999.999.900;43504.32;29.106.100.000.000.000;13.953.215.900.000.000;22.219.999.999.999.900;15.927.377.539.999.900;23.143.529.999.999.900;4699981
121;91.510.000.000.000.000;0.0091509999999999994;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.195.999.999.999.900;11.544;0;5;0;1;91.510.000.000.000.000;0.83999999999999997;76.870.000.000.000.000;17.260.000.000.000.000;2;38.439.999.999.999.900;2;1;1;1;1;213.78;39.200.000.000.000.000;42.532.823.560.000.000;16.812.398.999.999.900;18;0;23;0.050000000000000003;0.070000000000000007;16006374.75;22.775.707.599.999.900;201066;20.822.654.999.999.900;29.628.860.000.000.000;26.156.599.999.999.900;15.815.771.399.999.900;25.199.999.999.999.900;17.587.951.879.999.900;228801.25;2989766
122;92.760.000.000.000.000;0.0092759999999999995;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.197.000.000.000.000;11.554;0;5;0;1;92.760.000.000.000.000;0.83999999999999997;77.920.000.000.000.000;17. May;2;38.960.000.000.000.000;3;1;2;1;2;11.956.999.999.999.900;39.740.000.000.000.000;43.112.326.859.999.900;27.061.472.999.999.900;20;0;23;0.040000000000000001;0.059999999999999998;10.848.119.050.000.000;27.313.386.600.000.000;265340;13.922.123.999.999.900;35.053.110.000.000.000;3405.29;13.317.243.500.000.000;21.170.000.000.000.000;12179843.4;156312.16;5707146
123;132.34;0.013233999999999999;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.210.999.999.999.900;11.554;0;5;0;1;132.34;0.83999999999999997;111.16;24.960.000.000.000.000;2;55.579.999.999.999.900;4;1;1;1;2;27.169.999.999.999.900;56.689.999.999.999.900;61.506.464.329.999.900;18.729.360.000.000.000;18;0;23;0.089999999999999997;0.14000000000000001;20.622.906.420.000.000;30.843.852.400.000.000;384168;185524.53;27.747.259.999.999.900;34.559.899.999.999.900;23.123.507.000.000.000;36.850.000.000.000.000;22.935.257.120.000.000;206326.53;6497943
124;120.17;0.012017;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.206.000.000.000.000;11.563.000.000.000.000;0;5;0;1;120.17;0.83999999999999997;100.94;22.670.000.000.000.000;2;50.469.999.999.999.900;2;1;1;2;2;22.199.000.000.000.000;51.479.999.999.999.900;55.851.749.700.000.000;20.423.129.999.999.900;18;0;23;0.050000000000000003;0.070000000000000007;17283439.48;27.989.879.399.999.900;191374;171224.88;27.729.220.000.000.000;18.959.200.000.000.000;15.042.121.699.999.900;23.91;18787651.66;18.612.692.000.000.000;4149298
125;13.508.000.000.000.000;0.013507999999999999;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.198;11.516.999.999.999.900;0;5;0;1;13.508.000.000.000.000;0.83999999999999997;113.47;25.48;2;56.729.999.999.999.900;1;2;2;1;1;168.69;57.869.999.999.999.900;62.781.720.479.999.900;27.710.382.000.000.000;21;0;23;0.10000000000000001;0.14999999999999999;16281606.59;44.504.686.299.999.900;185564;14.348.820.000.000.000;39.221.540.000.000.000;16.353.599.999.999.900;25.429.704.700.000.000;40.439.999.999.999.900;18.824.577.059.999.900;16.589.914.999.999.900;3651069
126;86.420.000.000.000.000;0.0086420000000000004;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.200.000.000.000.000;11.526.999.999.999.900;0;5;0;1;86.420.000.000.000.000;0.83999999999999997;72.590.000.000.000.000;16.300.000.000.000.000;1;72.590.000.000.000.000;1;2;2;2;2;65.689.999.999.999.900;37.020.000.000.000.000;40.166.222.890.000.000;39.105.671.000.000.000;19;0;23;0.01;0.01;67.136.398.899.999.900;16.088.871.799.999.900;82954;92.487.119.999.999.900;22.164.029.999.999.900;1142.77;77.954.665.000.000.000;Dec 41;7493186.54;10.322.614.999.999.900;2416409
127;15.449.000.000.000.000;0.015448999999999999;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.212.000.000.000.000;11.544;0;5;1;2;30.898.000.000.000.000;0.83999999999999997;25.955.000.000.000.000;49.859.999.999.999.900;2;12.977.000.000.000.000;4;1;1;1;1;37.019.999.999.999.900;66.180.000.000.000.000;62.011.663.420.000.000;14.210.476.000.000.000;20;0;23;0.070000000000000007;0.10000000000000001;28178756.02;80.174.835.999.999.900;407808;10.856.774.000.000.000;30.889.939.999.999.900;1571.21;19.107.021.699.999.900;30.399.999.999.999.900;30.089.458.199.999.900;115929.33;9263115
128;61.75;0.0061749999999999999;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.201.999.999.999.900;11.539;0;5;1;2;123.5;0.83999999999999997;10.373.999.999.999.900;19.93;1;10.373.999.999.999.900;2;2;2;1;2;65.799.999.999.999.900;26.449.999.999.999.900;24785180.32;268679.88;21;0;23;0.059999999999999998;0.089999999999999997;59.277.866.900.000.000;2678425.48;178698;57.140.800.000.000.000;25.818.639.999.999.900;17.225.599.999.999.900;17.691.078.500.000.000;28.109.999.999.999.900;7696894.54;74.194.089.999.999.900;3287506
129;65.430.000.000.000.000;0.0065430000000000002;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.210.999.999.999.900;11.545.999.999.999.900;0;5;1;2;13.086.000.000.000.000;0.83999999999999997;109.92;21.120.000.000.000.000;1;109.92;1;2;1;2;2;107.52;28.030.000.000.000.000;26.262.937.489.999.900;193751.87;22;0;23;0.080000000000000002;0.11;90.575.824.399.999.900;3706244.73;104966;82.401.589.999.999.900;33.717.660.000.000.000;95.492.999.999.999.900;2158933.73;34.359.999.999.999.900;11216516.17;10.204.253.999.999.900;1450525
130;60.420.000.000.000.000;0.060420000000000001;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.201.000.000.000.000;11.539;0;5;1;2;12.084.000.000.000.000;0.83999999999999997;1015.05;19.500.999.999.999.900;2;50.752.999.999.999.900;4;1;1;1;2;1155.27;25.883.999.999.999.900;24.251.978.219.999.900;17.149.976.999.999.900;21;0;23;0.76000000000000001;11.499.999.999.999.900;93.071.044.230.000.000;33.629.341.859.999.900;403130;91.691.089.999.999.900;33.130.720.000.000.000;39.714.999.999.999.900;14398964.9;22.877.000.000.000.000;10.747.000.909.999.900;10.587.657.000.000.000;6874067
131;16.511.000.000.000.000;0.016511000000000001;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.195;11.534.000.000.000.000;0;5;1;2;33.022.000.000.000.000;0.83999999999999997;277.38;53.289.999.999.999.900;2;138.69;2;2;1;2;1;351.25;70.730.000.000.000.000;66.272.810.310.000.000;15.705.020.000.000.000;18;0;23;0.20999999999999999;0.31;24.887.545.579.999.900;58.962.333.600.000.000;191470;89.723.649.999.999.900;21.256.880.000.000.000;69.027.999.999.999.900;44.622.666.100.000.000;71.019.999.999.999.900;29.349.812.199.999.900;10.581.085.000.000.000;3236810
132;57.530.000.000.000.000;0.0057530000000000003;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.195;11.534.000.000.000.000;0;5;1;2;115.05;0.83999999999999997;96.640.000.000.000.000;18.57;1;96.640.000.000.000.000;2;1;2;1;2;76.760.000.000.000.000;24.640.000.000.000.000;23.090.028.280.000.000;227708.87;22;0;23;0.059999999999999998;0.089999999999999997;68.532.660.899.999.900;29.586.310.600.000.000;190890;70.915.419.999.999.900;30.614.970.000.000.000;1975.27;1666225.77;26.600.000.000.000.000;85.194.918.599.999.900;88.156.990.000.000.000;3418351
133;61.75;0.0061749999999999999;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.203.000.000.000.000;11.539;0;5;1;2;123.5;0.83999999999999997;10.373.999.999.999.900;19.93;1;10.373.999.999.999.900;4;1;1;2;1;14.796.000.000.000.000;26.449.999.999.999.900;24.785.068.059.999.900;14.210.476.000.000.000;22;0;23;0.040000000000000001;0.059999999999999998;11.882.177.220.000.000;37.459.463.100.000.000;417042;114538.05;36.108.989.999.999.900;40.200.700.000.000.000;13.181.256.899.999.900;21.010.000.000.000.000;13200302.91;12.724.410.000.000.000;5329010
134;65.430.000.000.000.000;0.0065430000000000002;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.210.999.999.999.900;11.545.999.999.999.900;0;5;1;2;13.086.000.000.000.000;0.83999999999999997;109.92;21.120.000.000.000.000;1;109.92;2;2;1;1;1;13.919.999.999.999.900;28.030.000.000.000.000;26.262.940.149.999.900;15.705.020.000.000.000;18;0;23;0.13;0.19;97.683.891.600.000.000;23.248.710.800.000.000;188118;88.868.169.999.999.900;21150.57;17.114.100.000.000.000;2971292.98;47.329.999.999.999.900;12.739.682.140.000.000;115899.58;3195780
135;21.472.999.999.999.900;0.021472999999999999;7;0.0051500000000000001;0.036049999999999999;0.010999999999999999;0.076999999999999999;;3;4;48.219.000.000.000.000;11.550.000.000.000.000;0;5;2;2;42.945.999.999.999.900;0.83999999999999997;36.074.000.000.000.000;67.670.000.000.000.000;6;60.119.999.999.999.900;14;1;1;1;2;52.908.000.000.000.000;91.989.999.999.999.900;102956888.8;165774.44;21;0;23;0.13;0.19;42008094.57;12.127.348.220.000.000;1379628;116449.78;33.617.970.000.000.000;38.244.400.000.000.000;30.347.126.899.999.900;48.229.999.999.999.900;45.042.807.259.999.900;124862.25;17953425
136;28.163.999.999.999.900;0.028164000000000002;8;0.0051500000000000001;0.041200000000000001;0.010999999999999999;0.087999999999999995;;3;4;48.210.999.999.999.900;11.544;0;5;2;2;56.327.999.999.999.900;0.83999999999999997;47.314.999.999.999.900;88.760.000.000.000.000;8;59.140.000.000.000.000;16;1;1;2;2;63.598.000.000.000.000;12.065.000.000.000.000;13.503.925.969.999.900;17.847.345.999.999.900;22;0;23;0.23999999999999999;0.34999999999999998;53.868.805.469.999.900;16237444.43;1593868;11.385.142.999.999.900;34317.75;33.686.300.000.000.000;49.542.652.000.000.000;79.040.000.000.000.000;58.823.070.659.999.900;124322.25;21174868
137;208.69;0.020868999999999999;4;0.0051500000000000001;0.0206;0.010999999999999999;0.043999999999999997;;3;4;48.218.000.000.000.000;11.484;0;5;2;2;417.38;0.83999999999999997;35.060.000.000.000.000;65.769.999.999.999.900;5;70.120.000.000.000.000;7;2;1;1;2;45.811.000.000.000.000;89.400.000.000.000.000;10.006.252.790.000.000;182759.22;20;0;23;0.22;0.32000000000000001;35443091.07;10.528.587.539.999.900;666018;101092.67;30.030.200.000.000.000;18.996.500.000.000.000;45.758.714.100.000.000;72.950.000.000.000.000;40.018.962.479.999.900;114144.22;10396818
138;11.823.999.999.999.900;0.011823999999999999;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.212.000.000.000.000;11.561.999.999.999.900;0;5;2;2;23.649.000.000.000.000;0.83999999999999997;19.865.000.000.000.000;37.259.999.999.999.900;3;66.219.999.999.999.900;3;2;1;2;2;23.522.999.999.999.900;50.659.999.999.999.900;56.695.530.549.999.900;198315.87;21;0;23;0.13;0.20000000000000001;19499774.59;63.164.602.999.999.900;291560;98.161.460.000.000.000;31796.93;1467.71;30.901.789.900.000.000;49.079.999.999.999.900;22.589.953.579.999.900;113717.36;3959197
139;82.670.000.000.000.000;0.008267;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.210.999.999.999.900;11.553.000.000.000.000;0;5;2;2;16.534.999.999.999.900;0.83999999999999997;13.888.999.999.999.900;26.050.000.000.000.000;2;69.450.000.000.000.000;1;2;1;2;2;164.47;35.420.000.000.000.000;39.640.466.890.000.000;198315.87;20;0;23;0.080000000000000002;0.12;12698159.48;41.295.709.500.000.000;192616;91.426.020.000.000.000;29.732.669.999.999.900;13.868.199.999.999.900;21.606.728.100.000.000;34.380.000.000.000.000;14.858.832.289.999.900;10.698.274.000.000.000;2602597
140;214.53;0.021453;8;0.0051500000000000001;0.041200000000000001;0.010999999999999999;0.087999999999999995;;3;4;48.210.999.999.999.900;11.545.999.999.999.900;0;5;2;2;42.906.999.999.999.900;0.83999999999999997;36.042.000.000.000.000;67.609.999.999.999.900;6;60.07;16;1;1;1;1;64.352.999.999.999.900;91.909.999.999.999.900;10.286.346.109.999.900;13.986.689.000.000.000;18;0;23;0.19;0.28000000000000003;44.026.953.289.999.900;8290481.29;1517248;122154.58;23.002.279.999.999.900;42.096.700.000.000.000;4106033.77;65.269.999.999.999.900;48.132.987.060.000.000;133546.94;20548287
141;27.614.999.999.999.900;0.027615000000000001;9;0.0051500000000000001;0.046350000000000002;0.010999999999999999;0.099000000000000005;;3;4;48.215.000.000.000.000;11.557;0;5;2;2;55.230.999.999.999.900;0.83999999999999997;463.94;87.030.000.000.000.000;7;66.280.000.000.000.000;18;1;1;1;1;828.38;118.3;13.240.942.240.000.000;13.986.689.000.000.000;18;0;23;0.13;0.20000000000000001;56.770.195.450.000.000;10480653.75;1736216;122365.38;22.590.540.000.000.000;37.423.299.999.999.900;30.000.414.199.999.900;47.740.000.000.000.000;59.770.236.869.999.900;12.883.182.000.000.000;24988898
142;116.02;0.011601999999999999;6;0.0051500000000000001;0.0309;0.010999999999999999;0.066000000000000003;;3;4;48.212.000.000.000.000;11.555;0;5;2;2;23.205.000.000.000.000;0.83999999999999997;19.491.999.999.999.900;36.560.000.000.000.000;3;64.969.999.999.999.900;11;2;1;1;1;31.685.000.000.000.000;49.700.000.000.000.000;55.630.598.810.000.000;15.176.714.000.000.000;18;0;23;0.10000000000000001;0.14000000000000001;21.638.192.629.999.900;42.944.313.200.000.000;1015898;111010.63;22.031.759.999.999.900;52.118.699.999.999.900;2479972.5;39.530.000.000.000.000;24.118.165.129.999.900;123733.66;12037389
143;68.332.000.000.000.000;0.068332000000000004;19;0.0051500000000000001;0.097850000000000006;0.010999999999999999;0.20899999999999999;;3;4;48.220.999.999.999.900;11.561;0;5;3;6;40.999.099.999.999.900;0.83999999999999997;34.439.299.999.999.900;57.929.999.999.999.900;19;18.125.999.999.999.900;38;2;1;2;1;4417.79;29.273.000.000.000.000;51.863.106.930.000.000;11.010.046.000.000.000;20;0;23;Jan 98;29.700.000.000.000.000;29.685.604.289.999.900;89.280.391.519.999.900;4072690;86.196.889.999.999.900;25.923.990.000.000.000;11.825.699.999.999.900;37.328.934.670.000.000;59.271.000.000.000.000;334184977.5;97.035.940.000.000.000;59963010
144;47.566.000.000.000.000;0.047565999999999997;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.215.000.000.000.000;11.528;0;5;3;6;2853.96;0.83999999999999997;23.973.200.000.000.000;403.25;6;39.955.000.000.000.000;6;1;1;1;1;3300.98;20.377.000.000.000.000;36.102.005.780.000.000;10.300.867.999.999.900;18;0;23;18.600.000.000.000.000;Feb 79;20.568.728.230.000.000;46.682.071.799.999.900;607208;85.798.839.999.999.900;19.472.610.000.000.000;25.328.999.999.999.900;35.227.047.030.000.000;56.195.000.000.000.000;24.091.432.930.000.000;100493.19;7639495
145;67.795.000.000.000.000;0.067794999999999994;10;0.0051500000000000001;0.051499999999999997;0.010999999999999999;0.11;;3;4;48.198.999.999.999.900;11.529;0;5;3;6;4067.71;0.83999999999999997;34.168.699.999.999.900;574.75;19;179.84;19;1;1;1;1;47.048.400.000.000.000;29.043.000.000.000.000;51.455.704.839.999.900;10.300.867.999.999.900;20;0;23;Mar 48;52.199.999.999.999.900;31.699.178.039.999.900;89841461.5;2003744;92.772.559.999.999.900;26293.5;58.642.999.999.999.900;64.944.747.539.999.900;1035.54;38.193.652.789.999.900;11.177.964.999.999.900;28180103
146;162.78;0.016278000000000001;4;0.0051500000000000001;0.0206;0.010999999999999999;0.043999999999999997;;3;4;48.201.999.999.999.900;11.539.999.999.999.900;0;5;3;6;97.669.000.000.000.000;0.83999999999999997;82.041.999.999.999.900;138;4;20.511.000.000.000.000;8;1;2;2;1;62.694.000.000.000.000;69.739.999.999.999.900;123549946.3;177342.06;20;0;23;0.5;0.73999999999999999;41.402.074.609.999.900;18.158.340.719.999.900;783478;50.464.489.999.999.900;22132.98;95.497.000.000.000.000;96.930.292.200.000.000;15.418.000.000.000.000;51.095.103.829.999.900;62.279.199.999.999.900;10633951
147;45.539.999.999.999.900;0.045539999999999997;26;0.0051500000000000001;0.13389999999999999;0.010999999999999999;0.28599999999999998;;3;4;48.195.999.999.999.900;11.525;0;5;3;6;27.324.200.000.000.000;0.83999999999999997;22.952.399.999.999.900;38.607.999.999.999.900;13;176.56;51;1;2;1;1;18.476.600.000.000.000;195.09;34.564.625.760.000.000;16.920.557.999.999.900;21;0;23;0.81000000000000005;Jan 22;126063971.2;56.645.031.869.999.900;4945800;54.924.089.999.999.900;24.679.349.999.999.900;21.548.099.999.999.900;15201750.5;243.06;14.126.572.169.999.900;61.547.260.000.000.000;58730352
148;900;0.089999999999999997;63;0.0051500000000000001;0.32445000000000002;0.010999999999999999;0.69299999999999995;;3;4;48.209.000.000.000.000;11.555;0;5;3;6;5400;0.83999999999999997;4536;763;25;181.44;125;1;1;1;1;62.458.199.999.999.900;385.56;683089680;10.300.867.999.999.900;18;0;23;38.599.999.999.999.900;57.999.999.999.999.900;37.922.871.860.000.000;87.213.589.480.000.000;12699728;83.604.210.000.000.000;19226.98;27.997.600.000.000.000;73.356.473.810.000.000;11.655.899.999.999.900;45.258.519.239.999.900;99.776.279.999.999.900;128422917
149;42.660.000.000.000.000;0.042659999999999997;20;0.0051500000000000001;0.10299999999999999;0.010999999999999999;0.22;;3;4;48.209.000.000.000.000;11.551;0;5;3;6;25.595.900.000.000.000;0.83999999999999997;21.500.500.000.000.000;36.166.000.000.000.000;12;17.916.999.999.999.900;39;2;1;2;1;2758.04;182.75;323782879.5;11.010.046.000.000.000;21;0;23;13.400.000.000.000.000;02. Feb;18.818.403.840.000.000;60.002.858.039.999.900;4085594;87.525.419.999.999.900;27907.66;1900.23;25.064.290.550.000.000;39.888.999.999.999.900;21.324.832.890.000.000;99.182.960.000.000.000;44187355
150;71.078.999.999.999.900;0.071079000000000003;34;0.0051500000000000001;0.17510000000000001;0.010999999999999999;0.374;;3;4;48.210.999.999.999.900;Nov 56;0;5;3;6;42.647.600.000.000.000;0.83999999999999997;35.824.000.000.000.000;60.260.000.000.000.000;20;179.12;68;2;1;1;2;3717.29;304.5;539484339;13.414.010.000.000.000;19;0;23;18.999.999.999.999.900;28.399.999.999.999.900;24.710.664.880.000.000;67.439.459.980.000.000;6526392;68.977.960.000.000.000;18.825.220.000.000.000;1821.79;35593878.07;56.750.999.999.999.900;28.270.052.689.999.900;78.913.720.000.000.000;68829098
151;123.52;0.012352;5;0.0051500000000000001;0.025749999999999999;0.010999999999999999;0.055;;3;4;48.210.000.000.000.000;11.554;0;6;0;3;37.056.999.999.999.900;0.83999999999999997;31.127.999.999.999.900;33.590.000.000.000.000;2;15.563.999.999.999.900;10;1;1;1;1;39.950.999.999.999.900;52.920.000.000.000.000;54.852.805.170.000.000;121240.13;21;0;23;0.32000000000000001;0.47999999999999998;30.456.595.309.999.900;65.578.586.699.999.900;1047376;97.843.080.000.000.000;21.067.389.999.999.900;33.647.399.999.999.900;6472307.25;103.14;36.928.902.560.000.000;118635.64;9109257
152;111.97;0.011197;4;0.0051500000000000001;0.0206;0.010999999999999999;0.043999999999999997;;3;4;48.204.999.999.999.900;11.561.999.999.999.900;0;6;0;3;33.591.000.000.000.000;0.83999999999999997;28.217.000.000.000.000;30.449.999.999.999.900;2;14.108.000.000.000.000;8;1;1;1;1;36.214.999.999.999.900;47.969.999.999.999.900;49.723.093.299.999.900;121240.13;22;0;23;0.17000000000000001;0.26000000000000001;28.493.570.010.000.000;61.574.572.699.999.900;832978;10.098.014.999.999.900;21.821.799.999.999.900;2952.04;37.838.383.599.999.900;60.149.999.999.999.900;32.277.408.359.999.900;114389.94;11006028
153;138.22;0.013821999999999999;2;0.0051500000000000001;0.0103;0.010999999999999999;0.021999999999999999;;3;4;48.195.999.999.999.900;11.522;0;6;0;3;41.464.999.999.999.900;0.83999999999999997;348.31;37.590.000.000.000.000;2;17.415.000.000.000.000;3;2;1;1;1;43.441.000.000.000.000;59.210.000.000.000.000;61.378.628.039.999.900;124342.02;20;0;23;0.23000000000000001;0.34000000000000002;32.971.729.989.999.900;69.674.175.300.000.000;313696;94.662.029.999.999.900;20003.5;900.62;47.927.730.899.999.900;76.120.000.000.000.000;37.764.503.079.999.900;10.842.210.000.000.000;5806794
154;900;0.089999999999999997;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.192.999.999.999.900;11.550.000.000.000.000;0;6;0;3;2700;0.83999999999999997;2268;244.75;2;1134;5;1;1;1;1;29.109.200.000.000.000;385.56;399665328.5;121240.13;20;0;23;22.999.999.999.999.900;34.500.000.000.000.000;22.312.831.790.000.000;45.333.019.149.999.900;524130;98.381.089.999.999.900;19.988.099.999.999.900;23.109.999.999.999.900;43.739.357.149.999.900;69.459.000.000.000.000;26.686.767.509.999.900;117666.52;5559590
155;191.09;0.019109000000000001;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.216.999.999.999.900;11.544;0;6;0;3;57.326.999.999.999.900;0.83999999999999997;48.154.000.000.000.000;51.969.999.999.999.900;2;24.077.000.000.000.000;1;1;2;2;1;40.574.000.000.000.000;81.859.999.999.999.900;84.857.272.659.999.900;174028.28;21;0;23;0.39000000000000001;0.58999999999999997;32.505.334.989.999.900;97.588.309.000.000.000;221618;67.502.880.000.000.000;20.265.880.000.000.000;46.023.000.000.000.000;76.692.855.999.999.900;122.45;40.174.620.590.000.000;83.429.460.000.000.000;4668669
156;88.519.999.999.999.900;0.0088520000000000005;3;0.0051500000000000001;0.01545;0.010999999999999999;0.033000000000000002;;3;4;48.216.999.999.999.900;11.542.999.999.999.900;0;6;0;3;265.56;0.83999999999999997;22.306.999.999.999.900;24. Jul;2;11.154.000.000.000.000;5;1;1;1;1;286.31;37.920.000.000.000.000;39309753.5;121240.13;22;0;23;0.14000000000000001;0.20999999999999999;22574219.41;49.511.044.900.000.000;520120;101197.92;22.195.299.999.999.900;23.316.399.999.999.900;31.559.648.399.999.900;50.329.999.999.999.900;25730184.25;115345.78;9541593
157;87.439.999.999.999.900;0.008744;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.195.999.999.999.900;11.553.000.000.000.000;0;6;0;3;26.232.999.999.999.900;0.83999999999999997;22.034.999.999.999.900;23.780.000.000.000.000;1;22.034.999.999.999.900;1;2;1;2;1;260.5;37.460.000.000.000.000;38830486.25;130319.06;22;0;23;0.059999999999999998;0.089999999999999997;19715072.91;4866872.29;112716;89.471.630.000.000.000;22.087.009.999.999.900;51.152.999.999.999.900;1766079.76;28.079.999.999.999.900;21.481.152.670.000.000;97.486.509.999.999.900;3064302
158;19.511.000.000.000.000;0.019511000000000001;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.223.999.999.999.900;11.521.000.000.000.000;0;6;0;3;58.533.000.000.000.000;0.83999999999999997;49.167.000.000.000.000;53.060.000.000.000.000;2;245.84;2;1;1;1;1;63.104.999.999.999.900;83.579.999.999.999.900;86.642.479.060.000.000;121240.13;18;0;23;0.38;0.57999999999999996;43.654.096.869.999.900;75.162.529.000.000.000;210370;88.787.389.999.999.900;15.287.190.000.000.000;427.87;74.250.364.500.000.000;118.3;51079133.32;103889.06;3789143
159;179.12;0.017912000000000001;1;0.0051500000000000001;0.0051500000000000001;0.010999999999999999;0.010999999999999999;;3;4;48.201.000.000.000.000;11.548;0;6;1;2;358.25;0.83999999999999997;30.093.000.000.000.000;41.840.000.000.000.000;1;30.093.000.000.000.000;1;2;1;1;1;33.774.000.000.000.000;76.739.999.999.999.900;60.454.764.979.999.900;14.585.660.999.999.900;20;0;23;0.11;0.16;26.632.835.629.999.900;71.503.836.399.999.900;106788;88.501.759.999.999.900;23.760.950.000.000.000;35.486.000.000.000.000;26.803.051.499.999.900;42.57;29.313.140.780.000.000;97408.5;2910090
